time, dskOnReal, dskOnFake, epoch
1590657595.4277, 0.224, 0.4869, 0
1590657595.4537, 0.225, 0.4774, 0
1590657595.4806, 0.229, 0.4627, 0
1590657595.5065, 0.236, 0.4533, 0
1590657595.5345, 0.231, 0.4461, 0
1590657595.5634, 0.231, 0.4424, 0
1590657595.5893, 0.232, 0.4216, 0
1590657595.6153, 0.241, 0.4136, 0
1590657595.6412, 0.266, 0.4109, 0
1590657595.6681, 0.273, 0.4045, 0
1590657595.694, 0.289, 0.4046, 0
1590657595.721, 0.317, 0.3982, 0
1590657595.7479, 0.329, 0.4042, 0
1590657595.7728, 0.359, 0.4035, 0
1590657595.7998, 0.379, 0.4097, 0
1590657595.8247, 0.396, 0.417, 0
1590657595.8506, 0.407, 0.4204, 0
1590657595.8805, 0.421, 0.4352, 0
1590657595.9085, 0.417, 0.4491, 0
1590657595.9374, 0.399, 0.4613, 0
1590657595.9723, 0.405, 0.4885, 0
1590657596.0052, 0.395, 0.5126, 0
1590657596.0331, 0.407, 0.5448, 0
1590657596.0601, 0.402, 0.5737, 0
1590657596.088, 0.425, 0.5932, 0
1590657596.1219, 0.433, 0.6118, 0
1590657596.1528, 0.468, 0.6134, 0
1590657596.1817, 0.498, 0.6025, 0
1590657596.2087, 0.54, 0.5753, 0
1590657596.2356, 0.572, 0.5382, 0
1590657596.2675, 0.589, 0.527, 0
1590657596.2964, 0.598, 0.5782, 0
1590657596.3224, 0.613, 0.6299, 0
1590657596.3483, 0.575, 0.6761, 0
1590657596.3723, 0.54, 0.7103, 0
1590657596.3962, 0.495, 0.7215, 0
1590657596.4221, 0.472, 0.7325, 0
1590657596.4461, 0.436, 0.7251, 0
1590657596.4753, 0.419, 0.7091, 0
1590657596.5032, 0.398, 0.6924, 0
1590657596.5291, 0.387, 0.6695, 0
1590657596.5561, 0.397, 0.6455, 0
1590657596.583, 0.417, 0.609, 0
1590657596.6089, 0.447, 0.5418, 0
1590657596.6369, 0.505, 0.457, 0
1590657596.6637, 0.553, 0.4389, 0
1590657596.6897, 0.578, 0.4846, 0
1590657596.7166, 0.574, 0.5964, 0
1590657596.7416, 0.571, 0.6852, 0
1590657596.7665, 0.503, 0.7411, 0
1590657596.7944, 0.462, 0.7587, 0
1590657596.8203, 0.401, 0.7796, 0
1590657596.8453, 0.38, 0.771, 0
